labels,text
0,our positive contribution to the independence process in south west africa has been recognised internationally
0, south africas good faith and reliability as a negotiator made a significant contribution to the success of the events
0, this too was not unnoticed
0, similarly our efforts to help bring an end to the domestic conflict situations in mozambique and angola have received positive acknowledgement
0,at present the government is involved in negotiations concerning our future relations with an independent namibia and there are no reasons why good relations should not exist between the two countries
0, namibia needs south africa and we are prepared to play a constructive part
0,nearer home i paid fruitful visits to venda transkei and ciskei and intend visiting bophuthatswana soon
0, in recent times there has been an interesting debate about the future relationship of the tbvc countries with south africa and specifically about whether they should be re-incorporated into our country
0,without rejecting this idea out of hand it should be borne in mind that it is but one of many possibilities
0, these countries are constitutionally independent
0, any return to south africa will have to be dealt with not only by means of legislation in their parliaments but also through legislation in this parliament
0, naturally this will have to be preceded by talks and agreements
0,some time ago the government referred the question of the protection of fundamental human rights to the south african law commission
0, this resulted in the law commissions interim working document on individual and minority rights
0, it elicited substantial public interest
0,i am satisfied that every individual and organisation in the country has had ample opportunity to make representations to the law commission express criticism freely and make suggestions
0, at present the law commission is considering the representations received
0, a final report is expected in the course of this year
0,in view of the exceptional importance of the subject of human rights to our country and all its people i wish to ask the law commission to accord this task high priority
0,the whole question of protecting individual and minority rights which includes collective rights and the rights of national groups is still under consideration by the law commission
0, therefore it would be inappropriate of the government to express a view on the details now
0, however certain matters of principle have emerged fairly clearly and i wish to devote some remarks to them
0,the government accepts the principle of the recognition and protection of the fundamental individual rights which form the constitutional basis of most western democracies
0, we acknowledge too that the most practical way of protecting those rights is vested in a declaration of rights justiciable by an independent judiciary
0, however it is clear that a system for the protection of the rights of individuals minorities and national entities has to form a well-rounded and balanced whole
0, south africa has its own national composition and our constitutional dispensation has to take this into account
0, the formal recognition of individual rights does not mean that the problem of a heterogeneous population will simply disappear
0, any new constitution which disregards this reality will be inappropriate and even harmful
0,naturally the protection of collective minority and national rights may not bring about an imbalance in respect of individual rights
0, it is neither the governments policy nor its intention that any group - in whichever way it may be defined - shall be favoured above or in relation to any of the others
0,the government is requesting the law commission to undertake a further task and report on it
0, this task is directed at the balanced protection in a future constitution of the human rights of all our citizens as well as of collective units associations minorities and nations
0, this investigation will also serve the purpose of supporting negotiations towards a new constitution
0,the terms of reference also include
0, the identification of the main types and models of democratic constitutions which deserve consideration in the aforementioned context
0, an analysis of the ways in which the relevant rights are protected in every model and
0, possible methods by means of which such constitutions may be made to succeed and be safeguarded in a legitimate manner
0,the death penalty has been the subject of intensive discussion in recent months
0, however the government has been giving its attention to this extremely sensitive issue for some time
0, on april the 27th 1989 the honourable minister of justice indicated that there was merit in suggestions for reform in this area
0, since 1988 in fact my predecessor and i have been taking decisions on reprieves which have led in proportion to a drastic decline in executions
0,we have now reached the position in which we are able to make concrete proposals for reform
0, after the chief justice was consulted and he in turn had consulted the bench and after the government had noted the opinions of academics and other interested parties the government decided on the following broad principles from a variety of available options
0, that reform in this area is indicated
0, that the death penalty should be limited as an option of sentence to extreme cases and specifically through broadening judicial discretion in the imposition of sentence and
0, that an automatic right of appeal be granted to those under sentence of death
0,should these proposals be adopted they should have a significant influence on the imposition of death sentences on the one hand and on the other should ensure that every case in which a person has been sentenced to death will come to the attention of the appellate division
0,these proposals require that everybody currently awaiting execution be accorded the benefit of the proposed new approach
0, therefore all executions have been suspended and no executions will take place until parliament has taken a final decision on the new proposals
0, in the even of the proposals being adopted the case of every person involved will be dealt with in accordance with the new guidelines
0, in the mean time no executions have taken place since november the 14th 1989
0,new and uncompleted cases will still be adjudicated in terms of the existing law
0, only when the death sentence is imposed will the new proposals be applied as in the case of those currently awaiting execution
0,the legislation concerned also entails other related principles which will be announced and elucidated in due course by the minister of justice
0, it will now be formulated in consultation with experts and be submitted to parliament as soon as possible
0,i wish to urge everybody to join us in dealing with this highly sensitive issue in a responsible manner
0,a changed dispensation implies far more than political and constitutional issues
0, it cannot be pursued successfully in isolation from problems in other spheres of life which demand practical solutions
0, poverty unemployment housing shortages inadequate education and training illiteracy health needs and numerous other problems still stand in the way of progress and prosperity and an improved quality of life
0,the conservation of the physical and human environment is of cardinal importance to the quality of our existence
0, for this the government is developing a strategy with the aid of an investigation by the presidents council
0,all of these challenges are being dealt with urgently and comprehensively
0, the capability for this has to be created in an economically accountable manner
0, consequently existing strategies and aims are undergoing a comprehensive revision
0,from this will emanate important policy announcements in the socio-economic sphere by the responsible ministers during the course of the session
0, one matter about which it is possible to make a concrete announcement is the separate amenities act 1953
0, pursuant to my speech before the presidents council late last year i announce that this act will be repealed during this session of parliament
0,the state cannot possibly deal alone with all of the social advancement our circumstances demand
0, the community at large and especially the private sector also have a major responsibility towards the welfare of our country and its people
0,a new south africa is possible only if it is bolstered by a sound and growing economy with particular emphasis on the creation of employment
0, with a view to this the government has taken thorough cognisance of the advice contained in numerous reports by a variety of advisory bodies
0, the central message is that south africa too will have to make certain structural changes to its economy just as its major trading partners had to do a decade or so ago
0,the period of exceptionally high economic growth experienced by the western world in the sixties was brought to an end by the oil crisis in 1973
0, drastic structural adaptations became inevitable for these countries especially after the second oil crisis in 1979 when serious imbalances occurred in their economies
0, after considerable sacrifices those countries which persevered with their structural adjustment programmes recovered economically sot hat lengthy periods of high economic growth and low inflation were possible
0,during that particular period south africa was protected temporarily by the rising gold price from the necessity of making similar adjustments immediately
0, in fact the high gold price even brought prosperity with it for a while
0, the recovery of the world economy and the decline in the price of gold and other primary products brought with them unhealthy trends
0, these included high inflation a serious weakening in the productivity of capital stagnation in the economys ability to generate income and employment opportunities
0, all of this made a drastic structural adjustment of our economy inevitable
0,the governments basic point of departure is to reduce the role of the public sector in the economy and to give the private sector maximum opportunity for optimal performance
0, in this process preference has to be given to allowing the market forces and a sound competitive structure to bring about the necessary adjustments
0,naturally those who make and implement economic policy have a major responsibility at the same time to promote an environment optimally conducive to investment job creation and economic growth by means of appropriate and properly co-ordinated fiscal and monetary policy
0, the government remains committed to this balanced and practical approach
0,by means of restricting capital expenditure in parastatal institutions privatisation deregulation and curtailing government expenditure substantial progress has been made already towards reducing the role of the authorities in the economy
0, we shall persist with this in a well-considered way
0,this does not mean that the state will forsake its indispensable development role especially in our particular circumstances
0, on the contrary it is the precise intention of the government to concentrate an equitable portion of its capacity on these aims by means of the meticulous determination of priorities
0,following the progress that has been made in other areas of the economy in recent years it is now opportune to give particular attention to the supply side of the economy
0,fundamental factors which will contribute to the success of this restructuring are
0, the gradual reduction of inflation to levels comparable to those of our principal trading partners
0, the encouragement of personal initiative and savings
0, the subjection of all economic decisions by the authorities to stringent financial measures and discipline
0, rapid progress with the reform of our system of taxation and
0, the encouragement of exports as the impetus for industrialisation and earning foreign exchange
0,these and other adjustments which will require sacrifices have to be seen as prerequisites for a new period of sustained growth in productive employment in the nineties
0,the government is very much aware of the necessity of proper co-ordination and consistent implementation of its economic policy
0, for this reason the establishment of the necessary structures and expertise to ensure this co-ordination is being given preference
0, this applies both to the various functions within the government and to the interaction between the authorities and the private sector
0,this is obviously not the occasion for me to deal in greater detail with our total economic strategy or with the recent course of the economy
0,i shall confine myself to a few specific remarks on one aspects of fiscal policy that has been a source of criticism of the government for some time namely state expenditure
0,the governments financial year ends only in two months time and several other important economic indicators for the 1989 calendar year are still subject to refinements at this stage
0, nonetheless several important trends are becoming increasingly clear
0, i am grateful to be able to say that we have apparently succeeded to a substantial degree in achieving most of our economic aims in the past year
0,in respect of government expenditure the budget for the current financial year will be the most accurate in many years
0, the financial figures will show
0, that government expenditure is thoroughly under control
0, that our normal financing programme has not exerted any significant upward pressure on rates of interest and
0, that we will close the year with a surplus even without taking the income from the privatisation of iscor into account
0,without pre-empting this years main budget i wish to emphasise that it is also our intention to co-ordinate fiscal and monetary policy in the coming financial year in a way that will enable us to achieve the ensuing goals - namely -
0, that the present downturn will take the form of a soft landing which will help to make adjustments as easy as possible
0, that our economy will consolidate before the next upward phase so that we will be able to grow from a sound base and
0, that we shall persist with the implementation of the required structural adaptations in respect among other things of the following easing the tax burden especially on individuals sustained and adequate generation of surpluses on the current account of the balance of payments and the reconstruction of our gold and foreign exchange reserves
0,it is a matter of considerable seriousness to the government especially in this particular period of our history to promote a dynamic economy which will make it possible for increasing numbers of people to be employed and share in rising standards of living
0,in conclusion i wish to focus the spotlight on the process of negotiation and related issues
0, at the stage i am refraining deliberately from discussing the merits of numerous political questions which undoubtedly will be debated during the next few weeks
0, the focus now has to fall on negotiation
0,practically every leader agrees that negotiation is the key to reconciliation peace and a new and just dispensation
0, however numerous excuses for refusing to take part are advanced
0, some of the reasons being advanced are valid
0, others are merely part of a political chess game
0, and while the game of chess proceeds valuable time is being lost
0,against this background i committed the government during my inauguration to giving active attention to the most important obstacles in the way of negotiation
0, today i am able to announce far-reaching decisions in this connection
0,i believe that these decisions will shape a new phase in which there will be a movement away from measures which have been seized upon as a justification for confrontation and violence
0, the emphasis has to move and will more now to a debate and discussion of political and economic points of view as part of the process of negotiation
0,i wish to urge every political and community leader in and outside parliament to approach the new opportunities which are being created constructively
0, there is no time left for advancing all manner of new conditions that will delay the negotiating process
0,the steps that have been decided are the following
0, the prohibition of the african national congress the pan africanist congress the south african communist party and a number of subsidiary organisations is being rescinded
0, people serving prison sentences merely because they were members of one of these organisations or because they committed another offence which was merely an offence because a prohibition on one of the organisations was in force will be identified and released
0, prisoners who have been sentenced for other offences such as murder terrorism or arson are not affected by this
0, the media emergency regulations as well as the education emergency regulations are being abolished in their entirety
0, the security emergency regulations will be amended to still make provision for effective control over visual material pertaining to scenes of unrest
0, the restrictions in terms of the emergency regulations on 33 organisations are being rescinded
0, the organisations include the following
0, the conditions imposed in terms of the security emergency regulations on 374 people on their release are being rescinded and the regulations which provide for such conditions are being abolished
0, the period of detention in terms of the security emergency regulations will be limited henceforth to six months
0, detainees also acquire the right to legal representation and a medical practitioner of their own choosing
0,these decisions by the cabinet are in accordance with the governments declared intention to normalise the political process in south africa without jeopardising the maintenance of the good order
0, they were preceded by thorough and anonymous advice by a group of officials which included members of the security community
0,implementation will be immediate and where necessary notices will appear in the government gazette from tomorrow
0,the most important facets of the advice the government received in this connection are the following
0, the events in the soviet union and eastern europe to which i have referred already weaken the capability of organisations which were previously supported strongly from those quarters
0, the activities of the organisations from which the prohibitions are now being lifted no longer entail the same degree of threat to internal security which initially necessitated the imposition of the prohibition
0, there have been important shifts of emphasis in the statements and points of view of the most important of the organisations concerned which indicate a new approach and a preference for peaceful solutions
0, the south african police is convinced that it is able in the present circumstances to combat violence and other crimes perpetrated also by members of these organisations and to bring offenders to justice without the aid of prohibitions on organisations
0,about one matter there should be not doubt
0, the lifting of the prohibition on the said organisations does not signify in the least the approval or condonation of terrorism or crimes of violence committed under their banner or which may be perpetrated in the future
0, equally it should not be interpreted as a deviation from the governments principles among other things against their economic policy and aspects of their constitutional policy
0, this will be dealt with in debate and negotiation
0,at the same time i wish to emphasise that the maintenance of law and order dare not be jeopardised
0, the government will not forsake its duty in this connection
0, violence from whichever source will be fought with all available might
0, peaceful protest may not become the springboard for lawlessness violence and intimidation
0, no democratic country can tolerate that
0,strong emphasis will be placed as well on even more effective law enforcement
0, proper provision of manpower and means for the police and all who are involved with the enforcement of the law will be ensured
0, in fact the budget for the coming financial year will already begin to give effect to this
0,i wish to thank the members of our security forces and related services for the dedicated service they have rendered the republic of south africa
0, their dedication makes reform in a stable climate possible
0,on the state of emergency i have been advised that an emergency situation which justifies these special measures which have been retained still exists
0, there is still conflict which is manifesting itself mainly in natal but as a consequence of the country-wide political power struggle
0, in addition there are indications that radicals are still trying to disrupt the possibilities of negotiations by means of mass violence
0,it is my intention to terminate the state of emergency completely as soon as circumstances justify it and i request the co-operation of everybody towards this end
0, those responsible for unrest and conflict have to bear the blame for the continuing state of emergency
0, in the mean time the state of emergency is inhibiting only those who use chaos and disorder as political instruments
0, otherwise the rules of the game under the state of emergency are the same for everybody
0,against this background the government is convinced that the decisions i have announced are justified from the security point of view
0, however these decisions are justified from a political point of view as well
0,our country and all its people have been embroiled in conflict tension and violent struggle for decades
0, it is time for us to break out of the cycle of violence and break through the peace and reconciliation
0, the silent majority is yearning for this
0, the youth deserve it
0,with the steps the government has taken it has proven its good faith and the table is laid for sensible leaders to begin talking about a new dispensation to reach an understanding by way of dialogue and discussion
0,the agenda is open and the overall aims to which we are aspiring should be acceptable to all reasonable south africans
0,among other things those aims include a new democratic constitution universal franchise no domination equally before an independent judiciary the protection of minorities as well as of individual rights freedom of religion a sound economy based on proven economic principles and private enterprise dynamic programmes directed at better education health services housing and social conditions for all
0,in this connection mr nelson mandela could play an important part
0, the government has noted that he has declared himself to be willing to make a constructive contribution to the peaceful political process in south africa
0,i wish to put it plainly that the government has taken a firm decision to release mr mandela unconditionally
0, i am serious about bringing this matter to finality without delay
0, the government will take a decision soon on the date of his release
0, unfortunately a further short passage of time is unavoidable
0,normally there is a certain passage of time between the decision to release and the actual release because of logistical and administrative requirements
0, in the case of mr mandela there are factors in the way of his immediate release of which his personal circumstances and safety are not the least
0, he has not been an ordinary prisoner for quite some time
0, because of that his case requires particular circumspection
0,todays announcements in particular go to the heart of what black leaders - also mr mandela - have been advancing over the years as their reason for having resorted to violence
0, the allegation has been that the government did not wish to talk to them and that they were deprived of their right to normal political activity by the prohibition of their organisations
0,without conceding that violence has ever been justified i wish to say today to those who argued in this manner -
0, the government wishes to talk to all leaders who seek peace
0, the unconditional lifting of the prohibition on the said organisations places everybody in a position to pursue politics freely
0, the justification for violence which was always advanced no longer exists
0,these facts place everybody in south africa before a fait accompli
0, on the basis of numerous previous statements there is no longer any reasonable excuse for the continuation of violence
0, the time for talking has arrived and whoever still makes excuses does not really wish to talk
0,therefore i repeat my invitation with greater conviction than ever -
0,walk through the open door take your place at the negotiating table together with the government and other leaders who have important power bases inside and outside of parliament
0,henceforth everybodys political points of view will be tested against their realism their workability and their fairness
0, the time for negotiation has arrived
0,to those political leaders who have always resisted violence i say thank you for your principled stands
0, this includes all the leaders of parliamentary parties leaders of important organisations and movements such as chief minister buthelezi all of the other chief ministers and urban community leaders
0,through their participation and discussion they have made an important contribution to this moment in which the process of free political participation is able to be restored
0, their places in the negotiating process are assured
0,in my inaugural address i said the following
0,all reasonable people in this country - by far the majority - anxiously await a message of hope
0, it is our responsibility as leaders in all spheres to provide that message realistically with courage and conviction
0, if we fail in that the ensuing chaos the demise of stability and progress will for ever be held against us
0,history has thrust upon the leadership of this country the tremendous responsibility to turn our country away from its present direction of conflict and confrontation
0, only we the leaders of our peoples can do it
0,the eyes of responsible governments across the world are focused on us
0, the hopes of millions of south africans are centred around us
0, the future of southern africa depends on us
0, we dare not falter or fail
0,this is where we stand
0, deeply under the impression of our responsibility
0, humble in the face of the tremendous challenges ahead
0, determined to move forward in faith and with conviction
0,i ask of parliament to assist me on the road ahead
0, there is much to be done
0,i call on the international community to re-evaluate its position and to adopt a positive attitude towards the dynamic evolution which is taking place in south africa
0,i pray that the almighty lord will guide and sustain us on our course through unchartered waters and will bless your labours and deliberations
0,mr speaker members of parliament
0,i now declare this second session of the ninth parliament of the republic of south africa to be duly opened
0,mr speaker
0,this parliament has convened to adopt important amendments to the constitution of the republic of south africa act 1993
0,the fact that we have done so in the midst of the most crucial election campaign of our national history speaks for itself
0, it is an indication of the importance which we attach to ensuring that the coming election is as inclusive as possible
0,if we wish to have a peaceful and stable future it is of the greatest importance that as many of our people and parties as possible should participate in this historical process
0,it is essential that no-one and no party should be able to claim that they are excluded or that their reasonable concerns have not been accommodated in the transitional constitution
0,it was to this end that the government the national party and other participating parties have gone out of their way particularly during the past weeks to accommodate the concerns raised by the parties of the freedom alliance
0,the concerns of the freedom alliance as distilled from weeks of hard negotiations included the following
0,the freedom alliance said they wanted stronger assurances relating to the autonomy of provinces with regard to their powers functions and boundaries
0,the amendment of section 126 of the constitution deletes the reference to concurrency
0, thus it is made absolutely clear that laws passed by the provincial legislatures will in general prevail over laws passed by the national parliament on matters reserved for the provinces
0, only in exceptional circumstances specifically provided for will the position be different
0,the freedom alliance was particularly concerned that a future government might try to diminish the powers of the provinces in the final constitution
0,the amendment of constitutional principle xviii provides that the powers and functions of provinces will not be substantially diminished in the final constitution
0, there are those who read something sinister in the word substantially
0, however i am assured that it is a technical provision which cannot be misused to undermine the scope of provincial powers or autonomy in any meaningful way
0, it is there merely to provide for some minor changes which might to agreed upon
0,the provincial provision according to the freedom alliance
0, it must also be recalled that no constitutional principle can be changed after the election even by a 100  majority in parliament
0,the freedom alliance wanted the provisions to have greater fiscal and financial autonomy
0,the amendment of sections 155-159 of the constitution will strengthen the taxing competence of the provinces and goes a long way in meeting the requirements of the freedom alliance
0,the freedom alliance asked for greater powers for the provinces in drawing up their own constitutions
0,the amendment of section 160 of the constitution will enable provincial legislatures to include specific provisions in their own constitutions regarding their own legislative and executive structures
0, this will allow provinces to legislate for their unique requirements
0, it will for example enable the province of kwazulunatal to make special provision for the zulu monarchy
0, simultaneously it creates room for asymmetry between provinces
0,the freedom alliance wanted the name of natal to be changed to kwazulunatal
0,the proposed amendments to the transitional constitution will make this possible
0,another major concern of the freedom alliance was that there should be two separate ballots in the election one for the national parliament and one for the provincial legislatures
0,this will be achieved by amendments to the electoral act - which will be amended to extend the deadline for parties to register for the election until 4 march 1994
0,another principal concern of the freedom alliance - and particularly of the afrikaner volksfront - is its demand for self-determination within a volkstaat
0,even this concern will be addressed in t he proposed constitutional amendments
0, a new constitutional principle will be added on the subject of self-determination - including the possibility that it might be exercised in a territorial entity if constitutionally agreed
0, provision is also made by amending chapter 11 to create a mechanism for conducting further negotiations of the subject of a volkstaat for those who really want it
0,the government believes that it and the other negotiating parties have now done everything within reason to address the main concerns of the freedom alliance
0,the fact is that the transitional constitution will bring into being provinces with genuine autonomous powers based on federal principles
0,those powers are strongly entrenched and cannot be arbitrarily diminished by the central government in terms of either the transitional constitution or the final constitution
0,voters will have a double ballot as requested by the freedom alliance parties
0,provinces will have extended and independent taxation powers
0,their powers have been further extended and clarified and they will be able to adopt their own constitutions
0, the province of natal will be known as kwazulu-natal as requested
0, the door has been opened to continued negotiation around the concept of a volkstaat
0,there can now no longer be any reasonable excuse for non-participation in the elections and in the continuing national constitutional process
0,we will achieve these improvements to the transitional constitution by adopting amendments in this parliament
0,however i have for some time had a suspicion that the freedom alliances main difficulty has not been so much with the text of the constitution but with the broader realities of our time
0,this parliament can amend the transitional constitution - but it cannot amend reality
0, it cannot amend the reality that the afrikaners are in a minority in all the recognised and historical regions of south africa
0, it cannot amend the reality that all south africans are inextricably interdependent - economically socially and constitutionally
0, it cannot and should not amend the reality that all south africans have a right to participate in the processes of government without being subjected to any form of discrimination
0,parties may continue to boycott the constitutional process but ultimately they will not be able to avoid these realities
0,by boycotting the elections they will wastefully exclude themselves and their followers from making their full contribution tot he constitutional future of south africa and to the peaceful promotion of their own values and ideals
0,however non-participation - though regrettable and wasteful - is a legitimate option
0, if parties choose this route it is their right to do so
0,i must however stress that whether they decide to participate in the process or not we are determined to proceed with the elections on 26-28 april and with the implementation of the transitional constitution
0, we dare not allow any minority to deprive the great majority south africans of their long-awaited desire to elect national and provincial governments which will for the first time in our history be truly representative of all south africans
0, we dare not allow anyone to stand in the way of the rapid economic growth and development which can come about only through a constitutional settlement which enjoys internal and external legitimacy
0, we will not allow anyone to deprive south africans of the hard-won and painstakingly negotiated rights which are now entrenched in the our constitutional system
0,as i have said it is the right of any party to boycott the elections
0,it is also the right of any party to continue to pursue its objectives by peaceful and constitutional means
0, however i will strenuously oppose any attempt by any party to prevent any south african citizen from exercising his or her right to participate in the election
0, the government will not tolerate any attempt by any party to disrupt the election
0, the government will use all the means at its disposal including the security forces to deal with any party which might seek to achieve its objectives through violence or through unconstitutional illegal or undemocratic means
0,parties which contemplate secession or the illegal seizure of state or municipal power should have no illusions concerning their position or the consequences of their actions
0, they should have no illusion concerning their support
0, they constitute a minority of the total south african population and within each province
0, if they disagree with this contention participation in the election would be the best way of proving their real support
0, the afrikaner volksfront has no right to claim to speak on behalf of the afrikaans people
0, the represent only a faction and as it is a divided faction
0, the vast majority of afrikaners are decent peace-loving and sensible people who dearly with to find a peaceful and workable modus vivendi with the other peoples of south africa
0, they have no wish to become involved in a futile and meaningless war against their brother afrikaners
0, they have no interest in losing their jobs their homes and everything they own in pursuit of a hopeless illusion
0, they should have no illusions that they will receive any international support
0,there is no way that the international community ever would or ever could accept a state based once again on minority racial domination and racial discrimination
0, there can be no return to apartheid
0, and any effort in that direction will end in conflict total isolation and utter and complete economic ruin
0, neither should he parties involved have any illusion with regard to the role of the security forces
0, the south african defence force and the south african police are highly professional and dedicated forces
0, they have a long and proud tradition of loyal service to the government of the day
0, they have a key role to play in upholding the integrity of the new state and of our constitution and they will play that role
0,there is simply no future on the road of unconstitutional and violent activity
0, i appeal to any of those who might be considering this road to turn back before it is too late
0,i have a deep understanding for the concerns of the zulu king and his people in respect of the future of the zulu monarchy
0, we have been involved in serious and in-depth discussions about he issue
0,unfortunately we have not been able as yet to each specific agreements on how to address these concerns
0, as far as i am concerned negotiation must continue until agreement is achieved
0,there should however be no doubts as to where i the government and the party which i lead stand in this regard
0, the zulu kingdom is recognised by us as a unique reality
0, it has a proud history and it plays an important role in the life of the zulu nation
0, we support the principle that the zulu kingdom must receive constitutional recognition also through effective constitutional safeguards your voice heard
0, the best defence against the abuse of your rights will be ensure that the new parliament as is balanced as possible - that no party emerges with too much power
0, if you wish to oppose those with whom you strongly disagree do so within the framework provided by the transitional constitution - and not through self-destructive involvement in violent and unconstitutional actions
0, if you have concerns or if you feel threatened seek protection from the institutions which the new constitution creates
0,remember that the process of constitutional development will not end with the election of the new parliament
0, one of its most important tasks will be to draw up a final constitution
0, constitutional negotiations will accordingly continue within the new parliament and all parties in the national assembly will be able to promote their interests and objectives in the ongoing constitutional debate
0,it is critically important that all significant south african political parties should be part of this process
0,during the past four years we have succeeded in bringing south africa from the brink of catastrophe
0,our society was deeply divided
0,we were on the brink of conflict
0,our country was ostracised and isolated
0,our economy was in a hopeless downward spiral
0,during the past four years we have succeeded in breaking out of this hopeless situation
0, we have succeeded in negotiating a transitional constitution which can provide the basis for a prosperous and peaceful society - which guarantees greater rights and freedom not only for those who previously did not have the vote but for all south africans
